TDWG,LEVEL3_NAME,Lon,Lat,Area,Clim.PC1,Clim.PC2,MAT_ANO,MTCQ_ANO,ELE_STD,MAT_STD,realm,wals,glottolog,Human,vas_rich,med_rich,residuals
ABT,Alberta,-114.5109586,55.16847238,660544.61,-4.568004613,-0.520918815,275.1756488,392.6241211,410.3132678,2.075433772,Nearctic,3,5,16,1647,758,39.61521539
AFG,Afghanistan,66.02653864,33.83890296,642131.1,-3.014177464,2.056554017,51.2574734,48.84003999,1103.846183,7.606659479,Palearctic,7,34,65,4535,1334,65.43062592
AGE,Argentina Northeast,-61.25823203,-32.60227234,1123396.67,-0.382888934,1.105104995,130.5809264,71.84914487,181.1500651,2.691479328,Neotropic,5,9,10,5360,1601,175.2622442
AGS,Argentina South,-68.83039105,-44.42958738,783430.9,-2.541711636,0.287737522,43.21400012,19.00322832,452.4247604,3.195729675,Neotropic,2,5,10,2097,426,-378.1129928
AGW,Argentina Northwest,-66.36119564,-29.14959223,874445.12,-1.560150614,1.794804491,94.9809391,40.83799646,1489.780746,6.741088334,Neotropic,5,4,10,5387,1430,-0.881448259
ALA,Alabama,-86.82906784,32.79389912,134488.53,0.057529331,-0.746814391,70.57170727,61.16719631,90.42991622,1.294206178,Nearctic,2,2,16,3062,1011,23.0476274
ALB,Albania,20.06837242,41.14254637,28638.71,-1.175235344,-0.651178009,43.15322031,28.95328111,527.2114344,3.244158777,Palearctic,1,2,45,3457,1269,205.7973113
ALD,Aldabra,46.38345351,-9.412807798,183.83,2.391661526,1.927995012,211.2387466,197.1352514,1.811129582,0.053575146,Afrotropic,0,0,2,197,115,-327.1494471
ALG,Algeria,2.632362328,28.1633545,2320939.88,-1.289051381,3.782319739,157.2535396,92.17788432,320.7351776,3.48223978,Palearctic,5,14,130,3662,1080,-22.25665019
ALT,Altay,84.13073238,51.96816239,262320.43,-4.725808418,-0.567959385,75.48530358,224.5489161,803.5152282,3.121499541,Palearctic,1,2,40,2606,940,38.91887837
ALU,Aleutian Is.,-108.5379159,52.80766048,12573.62,-1.599634209,-3.50403214,20.76833729,73.64988854,236.1872693,1.021442356,Nearctic,0,1,25,370,137,-338.1071805
AMU,Amur,127.7254487,53.39992279,360081.14,-6.035386465,-0.309086934,145.5983596,360.491662,312.6863263,2.450723429,Palearctic,0,0,30,1440,742,63.05019116
AND,Andaman Is.,92.78132302,12.27997874,5958.87,4.654861441,0.188431196,219.5582687,210.7371682,60.85287134,0.326984913,Indomalaya,5,13,65,1813,1212,461.9910319
ANG,Angola,17.57181504,-12.3357622,1245269.91,0.713475672,2.350723546,159.1020835,137.0755072,368.4770455,1.71519186,Afrotropic,4,29,12,6216,2233,644.1881415
ANT,Antarctica,21.30394693,-80.44593994,12302932.39,,,,,925.967016,10.60687346,Antarctica,0,0,0,3,0,-405.191064
ARI,Arizona,-111.6575963,34.29669616,294300.97,-1.871334769,2.548568745,51.99122858,39.56592159,625.0372728,4.726083347,Nearctic,9,8,16,3622,1311,216.363635
ARK,Arkansas,-92.44235749,34.90084347,137550.68,-0.581806874,-0.398136231,3.891932387,156.9174658,135.1278583,1.051513635,Nearctic,1,2,16,2197,834,10.83629426
ARU,Aruba,-69.97713313,12.51668736,207.19,1.67017726,2.880343926,219.6099229,207.9838049,28.72214521,0.136693298,Neotropic,0,1,14,288,173,-286.4855959
ASC,Ascension,-14.3632866,-7.938079755,98.83,0.144666424,1.725236341,208.4331848,195.1340393,148.0764062,0.801061734,Afrotropic,0,0,0.2,36,17,-394.4777993
ASK,Alaska,-152.4711869,64.30501188,1488696.33,-5.017512151,-1.683454313,132.0814377,254.5218071,481.2937594,4.152475128,Nearctic,15,18,25,1402,509,-162.7105379
ASP,Amsterdam-St. Paul Is.,77.53284994,-37.97877628,71.95,0.233778708,-2.573478156,87.4446284,65.1615448,241.0815942,0.96220859,Afrotropic,0,0,0.1,31,4,-406.5252636
ASS,Assam,92.85194548,25.4827162,171631.7,3.384766269,-0.226813852,168.1066174,112.1081821,497.8982886,2.531917378,Indomalaya,26,98,65,6430,3378,1748.419616
